ad_type,impressions,spend_usd,geo_targeting_included,CPM
Image,1001,550.0,Florida,549.4505494505495
Text,10,550.0,Florida,55000.0
Image,10100,550.0,Florida,54.45544554455446
Video,1001,550.0,Florida,549.4505494505495
Text,1001,550.0,Florida,549.4505494505495
Text,10100,550.0,Florida,54.45544554455446
Video,110,25500.0,Florida,231818.18181818182
Video,10,25500.0,Florida,2550000.0
Text,1001,25500.0,Florida,25474.525474525475
Video,1001,25500.0,Florida,25474.525474525475
Text,10100,25500.0,Florida,2524.7524752475247
Image,110,25500.0,Florida,231818.18181818182
Image,1001,25500.0,Florida,25474.525474525475
Image,10,25500.0,Florida,2550000.0
Video,10100,25500.0,Florida,2524.7524752475247
Text,10,25500.0,Florida,2550000.0
Text,110,25500.0,Florida,231818.18181818182
Image,10100,25500.0,Florida,2524.7524752475247
Video,110,100000.0,Florida,909090.9090909092
Video,10,100000.0,Florida,10000000.0
Text,1001,100000.0,Florida,99900.0999000999
Video,10,100.0,Florida,10000.0
Image,10100,100.0,Florida,9.900990099009901
Image,10,100.0,Florida,10000.0
Video,10100,100.0,Florida,9.900990099009901
Text,10,100.0,Florida,10000.0
Image,1001,100.0,Florida,99.9000999000999
Video,1001,100.0,Florida,99.9000999000999
Video,110,75000.0,Florida,681818.1818181819
Text,1001,75000.0,Florida,74925.07492507492
Image,110,75000.0,Florida,681818.1818181819
Image,10,75000.0,Florida,7500000.0
Image,10,550.0,Florida,55000.0
Image,10,100000.0,Florida,10000000.0
Text,10,550.0,Georgia,55000.0
Video,10100,550.0,Georgia,54.45544554455446
Video,10,550.0,Georgia,55000.0
Image,10100,550.0,Georgia,54.45544554455446
Image,1001,550.0,Georgia,549.4505494505495
Text,10100,550.0,Georgia,54.45544554455446
Video,1001,550.0,Georgia,549.4505494505495
Image,110,550.0,Georgia,5000.0
Text,1001,550.0,Georgia,549.4505494505495
Video,110,25500.0,Georgia,231818.18181818182
Video,1001,25500.0,Georgia,25474.525474525475
Text,10100,25500.0,Georgia,2524.7524752475247
Text,1001,25500.0,Georgia,25474.525474525475
Image,110,25500.0,Georgia,231818.18181818182
Image,1001,25500.0,Georgia,25474.525474525475
Image,10,25500.0,Georgia,2550000.0
Video,10100,25500.0,Georgia,2524.7524752475247
Text,10,25500.0,Georgia,2550000.0
Image,10100,25500.0,Georgia,2524.7524752475247
Video,110,100000.0,Georgia,909090.9090909092
Video,10,100000.0,Georgia,10000000.0
Text,1001,100000.0,Georgia,99900.0999000999
Video,10,100.0,Georgia,10000.0
Image,10,100.0,Georgia,10000.0
Video,10100,100.0,Georgia,9.900990099009901
Image,10100,100.0,Georgia,9.900990099009901
Text,10,100.0,Georgia,10000.0
Text,10100,100.0,Georgia,9.900990099009901
Image,1001,100.0,Georgia,99.9000999000999
Video,1001,100.0,Georgia,99.9000999000999
Video,110,75000.0,Georgia,681818.1818181819
Text,10100,75000.0,Georgia,7425.742574257426
Text,1001,75000.0,Georgia,74925.07492507492
Image,10,550.0,Georgia,55000.0
Text,110,25500.0,Georgia,231818.18181818182
Text,110,100000.0,Georgia,909090.9090909092
Image,10100,550.0,Indiana,54.45544554455446
Image,10,550.0,Indiana,55000.0
Text,10,550.0,Indiana,55000.0
Video,10,550.0,Indiana,55000.0
Image,1001,550.0,Indiana,549.4505494505495
Video,10100,550.0,Indiana,54.45544554455446
Text,10100,550.0,Indiana,54.45544554455446
Text,1001,25500.0,Indiana,25474.525474525475
Video,1001,25500.0,Indiana,25474.525474525475
Image,110,25500.0,Indiana,231818.18181818182
Image,1001,25500.0,Indiana,25474.525474525475
Video,110,25500.0,Indiana,231818.18181818182
Text,10100,25500.0,Indiana,2524.7524752475247
Text,10,25500.0,Indiana,2550000.0
Video,10100,25500.0,Indiana,2524.7524752475247
Image,10100,25500.0,Indiana,2524.7524752475247
Video,10,100.0,Indiana,10000.0
Text,10,100.0,Indiana,10000.0
Image,10,100.0,Indiana,10000.0
Image,10100,100.0,Indiana,9.900990099009901
Video,10100,100.0,Indiana,9.900990099009901
Image,1001,100.0,Indiana,99.9000999000999
Text,10100,100.0,Indiana,9.900990099009901
Video,110,75000.0,Indiana,681818.1818181819
Text,1001,75000.0,Indiana,74925.07492507492
Video,1001,550.0,Indiana,549.4505494505495
Image,10100,550.0,Montana,54.45544554455446
Text,10,550.0,Montana,55000.0
Video,10100,550.0,Montana,54.45544554455446
Video,10,550.0,Montana,55000.0
Image,1001,550.0,Montana,549.4505494505495
Image,10,550.0,Montana,55000.0
Text,10100,550.0,Montana,54.45544554455446
Text,1001,550.0,Montana,549.4505494505495
Video,1001,550.0,Montana,549.4505494505495
Image,110,550.0,Montana,5000.0
Video,1001,25500.0,Montana,25474.525474525475
Text,10100,25500.0,Montana,2524.7524752475247
